Rank,City,State,2018 Estimate,2010 Census,Change,2016 Land Area Km,2016 Land Area Mi,2016 Population Density km,2016 Population Density mi,Land Area,Water Area,Time Zone,Mayor,Airport,Official Website,Climate,Wiki link
116,Amarillo, Texas,"199,924","190,695",+4.84%,101.4 sq mi,262.6 km2,"1,968/sq mi",760/km2,89.8 sq mi (232.7 km2),0.5 sq mi (1.2 km2),UTC−6 (CST),Ginger Nelson,,http://www.amarillo.gov,"Like most of the Texas Panhandle, Amarillo has a temperate semi-arid climate (Köppen climate classification BSk).[38] Both the city and the region as a whole lie in USDA Plant Hardiness Zone 7.[39] Amarillo is characterized by a winter season featuring large diurnal temperature variation, great day-to-day variability, possible sudden and/or severe Arctic air outbreaks (in Texas, called ""blue northers""), possible blizzards and hot summers with generally low humidity. The average annual precipitation is 20.4 inches or 520 millimetres. Much of Amarillo's precipitation falls during heavy convective showers and thunderstorms during the late spring and summer months. According to 'Cities Ranked and Rated' (Bert Sperling and Peter Sander), Amarillo averages 48 days per year during which thunder and lightning is reported. This is above the national average. These storms can be severe: Amarillo and the Texas Panhandle are situated in the western portion of ""Tornado Alley"" and are prone to severe weather events, occurring primarily between April and July. Severe thunderstorms can produce damaging straight-line winds, large hail, tornadoes, and flash flooding. Amarillo is no stranger to devastating tornadoes. Tornadoes have occurred in and around the city in 1968, 1970, 1982, 1986, 2001, 2007, and most recently in 2013, 2015 and 2016. The strongest tornado to ever hit Amarillo was a deadly F4 tornado that struck the city in the night time hours of May 15, 1949. Amarillo suffered a direct hit, causing catastrophic damage and loss of life in Amarillo's most densely populated areas. The tornado devastated the south and east sides of the city, killing 7 people, and injuring more than 80 others. The monthly daily average temperature ranges from 37.0°F (2.8°C) in January to 78.3°F (25.7°C) in July. Sunny weather prevails year-round, with nearly 3300 hours of bright sunshine annually. The National Weather Service in Amarillo forecasts and provides climatic data for the city.
","/wiki/Amarillo,_Texas"
117,Yonkers, New York,"199,663","195,976",+1.88%,18.0 sq mi,46.6 km2,"11,156/sq mi","4,307/km2",18.01 sq mi (46.65 km2),2.28 sq mi (5.92 km2),UTC-5 (EST),Mike Spano,,http://www.yonkersny.gov/,"Yonkers has 4 distinct seasons featuring cold, moderately snowy winters and hot humid summers, with average lows of 20°F in January, and average highs of 85°F in July. As it is located directly north of New York City, Yonkers lies in the transition zones between the Humid subtropical climate and the Humid continental climate zone, sharing features of both climate zones. The climate of Yonkers and its surroundings is analogous to eastern Bulgaria and northern Honshu.
","/wiki/Yonkers,_New_York"
118,Aurora, Illinois,"199,602","197,899",+0.86%,44.9 sq mi,116.3 km2,"4,479/sq mi","1,729/km2",44.89 sq mi (116.27 km2),0.88 sq mi (2.28 km2),UTC−6 (CST),R,,http://www.aurora-il.org,"The annual precipitation for Aurora is about 40inches. The record high for Aurora is 111°F (44°C), on July 14, 1936. The record low is −31°F (−35°C), on January 16, 2009.[17] The average high temperature for Aurora in July is 83.5°F (28.6°C), the average January low is 12.6°F (−10.8°C).
","/wiki/Aurora,_Illinois"
119,Montgomery, Alabama,"198,218","205,764",−3.67%,159.8 sq mi,413.9 km2,"1,252/sq mi",483/km2,159.79 sq mi (413.87 km2),2.39 sq mi (6.19 km2),UTC−6 (CST),Todd Strange,,http://montgomeryal.gov,"Montgomery has a humid subtropical climate (Köppen Cfa), with short, mild winters, warm springs and autumns, and long, hot, humid summers. The daily average temperature in January is 46.6°F (8.1°C), and there are 3.4 days of sub 20°F (−7°C) lows; 10°F (−12°C) and below is extremely rare. The daily average in July is 81.8°F (27.7°C), with highs exceeding 90°F (32.2°C) on 86 days per year and 100°F (37.8°C) on 3.9. Summer afternoon heat indices, much more often than the actual air temperature, are frequently at or above 100°F.[44] The diurnal temperature variation tends to be large in spring and autumn. Rainfall is well-distributed throughout the year, though February, March and July are the wettest months, while October is significantly the driest month. Snowfall occurs only during some winters, and even then is usually light. Substantial snowstorms are rare, but do occur approximately once every 10 years. Extremes range from −5°F (−21°C) on February 13, 1899[45] to 107°F (42°C) on July 7, 1881.[46]
","/wiki/Montgomery,_Alabama"
120,Akron, Ohio,"198,006","199,110",−0.55%,62.0 sq mi,160.6 km2,"3,188/sq mi","1,231/km2",62.03 sq mi (160.66 km2),0.34 sq mi (0.88 km2)  0.55%,UTC-5 (Eastern (EST)),Dan Horrigan,"The primary terminal that airline passengers traveling to or from Akron use is the Akron-Canton Regional Airport, serving nearly 2 million passengers a year. The Akron-Canton Airport is a commercial Class C airport located in the city of Green,[150] roughly 10mi (16km) southeast of Akron operated jointly by Stark and Summit counties.  It serves as an alternative for travelers to or from the Cleveland area as well. Akron Fulton International Airport is a general aviation airport located in and owned by the City of Akron that serves private planes.  It first opened in 1929 and has operated in several different capacities since then. The airport had commercial scheduled airline service until the 1950s and it is now used for both cargo and private planes.[151]
It is home of the Lockheed Martin Airdock, where the Goodyear airships, dirigibles, and blimps were originally stored and maintained. The Goodyear blimps are now housed outside of Akron in a facility on the shores of Wingfoot Lake in nearby Suffield Township.
",http://akronohio.gov,"Akron has a humid continental climate (Köppen Dfa), typical of the Midwest, with four distinct seasons, and lies in USDA hardiness zone 6b, degrading to zone 6a in the outlying suburbs.[42] Winters are cold and dry but typically bring a mix of rain, sleet, and snow with occasional heavy snowfall and icing. January is the coldest month with an average mean temperature of 26.1°F (−3.3°C),[43] with temperatures on average dropping to or below 0°F (−18°C) on 3.8days and staying at or below freezing on 41days per year.[43] Snowfall averages 47.5 inches (121cm) per season, significantly less than the snowbelt areas closer to Lake Erie.[43] The snowiest month on record was 37.5 inches (95cm) in January 1978, while winter snowfall amounts have ranged from 82.0in (208cm) in 1977–78 to 18.2in (46cm) in 1949–50.[43] Springs generally see a transition to fewer weather systems that produce heavier rainfall. Summers are typically very warm and humid with temperatures at or above 90°F (32°C) on 8.0days per year on average; the annual count has been as high as 36days in 1931, while the most recent year to not reach that mark is 2004.[43] July is the warmest month with an average mean temperature of 72.0°F (22°C).[43] Autumn is relatively dry with many clear warm days and cool nights.
","/wiki/Akron,_Ohio"
121,Little Rock, Arkansas,"197,881","193,524",+2.25%,118.7 sq mi,307.4 km2,"1,673/sq mi",646/km2,119.22 sq mi (308.77 km2),2.80 sq mi (7.26 km2),UTC-6 (CST),Frank Scott Jr.,,http://www.littlerock.gov,"Little Rock lies in the humid subtropical climate zone, with hot, humid summers and cool winters, with usually little snow. It has experienced temperatures as low as −12°F (−24°C), which was recorded on February 12, 1899, and as high as 114°F (46°C), which was recorded on August 3, 2011.[14]
","/wiki/Little_Rock,_Arkansas"
122,Huntsville, Alabama,"197,318","180,105",+9.56%,213.4 sq mi,552.7 km2,905/sq mi,349/km2,213.36 sq mi (552.60 km2),1.34 sq mi (3.47 km2),UTC−6 (CST),Tommy Battle,,http://www.al.com/news/huntsville/index.ssf/2018/03/census_shows_huntsville_metro.html,"Huntsville has a humid subtropical climate (Köppen climate classification Cfa). It experiences hot, humid summers and generally mild winters, with average high temperatures ranging from near 90°F (32.2°C) in the summer to 49°F (9.4°C) during winter.
","/wiki/Huntsville,_Alabama"
123,Augusta, Georgia,"196,939","195,844",+0.56%,302.5 sq mi,783.5 km2,652/sq mi,252/km2,302.1 sq mi (782 km2),4.3 sq mi (11.3 km2),UTC-5 (EST),Consolidated city-county,,http://www.augustaga.gov,"As with the rest of the state, Augusta has a humid subtropical climate (Köppen Cfa), with short, mild winters, very hot, humid summers, and a wide diurnal temperature variation throughout much of the year, despite its low elevation and moisture. The monthly daily average temperature ranges from 45.4°F (7.4°C) in January to 81.6°F (27.6°C) in July; there are 53 nights with the low reaching the freezing mark, 82 days reaching or exceeding 90°F (32°C), and 5.5 days reaching 100°F (38°C) annually. Extreme temperatures range from −1°F (−18°C) on January 21, 1985 up to 108°F (42°C) on August 10, 2007 and August 21, 1983. Snowfall is not nearly as common as in Atlanta, due largely to Augusta's elevation, with downtown Augusta being about 900ft (270m) lower than downtown Atlanta. Freezing rain is also a threat in wintertime.
","/wiki/Augusta,_Georgia"
124,Port St. Lucie, Florida,"195,248","164,603",+18.62%,118.9 sq mi,307.9 km2,"1,557/sq mi",601/km2,118.89 sq mi (307.92 km2),1.62 sq mi (4.19 km2),UTC−5 (Eastern (EST)),[2],,http://www.pslhistory.org/anniversary/50thNews/110413Book.pdf,"Port St. Lucie is located on the lower cusp of a warm humid subtropical climate, which dominates Central Florida, and the northern extent of the tropical climate typical of South Florida. Summers are usually hot, with high temperatures averaging in the low 90s. Winters are usually mild to warm, with average high temperatures in the 70s. The average yearly precipitation is around 53.5 in.[22]
","/wiki/Port_St._Lucie,_Florida"
125,Grand Prairie, Texas,"194,614","175,396",+10.96%,72.3 sq mi,187.3 km2,"2,637/sq mi","1,018/km2",72.105 sq mi (186.75 km2),8.986 sq mi (23.27 km2),UTC-6 (CST),City Manager,,http://factfinder2.census.gov/faces/nav/jsf/pages/index.xhtml,"Grand Prairie is part of the humid subtropical region.
","/wiki/Grand_Prairie,_Texas"
126,Columbus, Georgia,"194,160","189,885",+2.25%,216.4 sq mi,560.5 km2,913/sq mi,353/km2,216.1 sq mi (592.1 km2),4.7 sq mi (12.3 km2),UTC−5 (EST),R,,http://www.columbusga.gov/,"Columbus has a humid subtropical climate (Köppen Cfa). Daytime summer temperatures often reach highs in the mid-90s, and low temperatures in the winter average in the upper 30s. Columbus is often considered a dividing line or ""natural snowline"" of the southeastern United States with areas north of the city receiving snowfall annually, with areas to the south typically not receiving snowfall every year or at all.  Columbus is within USDA hardiness zone 8b in the city center and zone 8a in the suburbs.
","/wiki/Columbus,_Georgia"
127,Tallahassee, Florida,"193,551","181,376",+6.71%,100.4 sq mi,260.0 km2,"1,901/sq mi",734/km2,100.42 sq mi (260.09 km2),3.21 sq mi (8.30 km2),UTC−5 (Eastern (EST)),John Dailey,,http://www.talgov.com,"Tallahassee has a humid subtropical climate (Köppen Cfa), with long summers and short, mild winters, as well as drier springs and autumns. Summer maxima here are hotter than in the Florida peninsula and it is one of the few cities in the state to occasionally record temperatures above 100°F or 37.8°C, averaging 2.4 days annually.[25] The record high of 105°F (41°C) was set on June 15, 2011.[26]
","/wiki/Tallahassee,_Florida"
128,Overland Park, Kansas,"192,536","173,372",+11.05%,75.1 sq mi,194.5 km2,"2,516/sq mi",971/km2,74.84 sq mi (193.84 km2),0.53 sq mi (1.38 km2),UTC-6 (CST),Carl R. Gerlach,,http://www.opkansas.org,"Overland Park lies in the transition zone between North America's humid subtropical climate and humid continental climate zones, typically experiencing hot, humid summers and cold, dry winters.[29]
","/wiki/Overland_Park,_Kansas"
129,Tempe, Arizona,"192,364","161,719",+18.95%,40.0 sq mi,103.6 km2,"4,562/sq mi","1,761/km2",39.97 sq mi (103.51 km2),0.26 sq mi (0.67 km2),UTC−7 (MST (no DST)),D,,http://www.tempe.gov,"As of the 2010 census, there were 161,719 people, 63,602 households, and 33,645 families residing in the city. The population density was 3,959.4 people per square mile (1,528.8/km²). There were 67,068 housing units at an average density of 1,674.1 per square mile (646.4/km²). The racial makeup of the city was 77.51% White, 5.9% Black or African American, 2.9% Native American, 5.7% Asian, 0.4% Pacific Islander, 8.49% from other races, and 3.9% from two or more races. 21.2% of the population were Hispanic or Latino of any race.
","/wiki/Tempe,_Arizona"
130,McKinney, Texas,"191,645","131,117",+46.16%,63.0 sq mi,163.2 km2,"2,735/sq mi","1,056/km2",62.2 sq mi (161.1 km2),0.7 sq mi (1.7 km2),UTC−6 (CST),[1],"McKinney National Airport and Aero Country Airport provide private and business air services.
",http://www.mckinneytexas.org,"McKinney is considered part of the humid subtropical region.
","/wiki/McKinney,_Texas"
131,Mobile, Alabama,"189,572","195,111",−2.84%,139.4 sq mi,361.0 km2,"1,384/sq mi",534/km2,139.40 sq mi (361.04 km2),40.66 sq mi (105.31 km2),UTC−6 (CST),Sandy Stimpson,"Local airline passengers are served by the Mobile Regional Airport, with direct connections to four major hub airports.[200] It is served by American Eagle, with service to Dallas-Fort Worth International Airport and Charlotte/Douglas International Airport; United Express, with service to George Bush Intercontinental Airport and Delta Connection, with service to Hartsfield-Jackson International Airport.[200] The Mobile Downtown Airport at the Brookley Aeroplex serves corporate, cargo, and private aircraft.[200]
",http://www.cityofmobile.org/,"Mobile's geographical location on the Gulf of Mexico provides a mild subtropical climate (Köppen Cfa), with hot, humid summers and mild, rainy winters. The record low temperature was −1°F (−18°C), set on February 13, 1899, and the record high was 105°F (41°C), set on August 29, 2000.[65][66]
","/wiki/Mobile,_Alabama"
132,Cape Coral, Florida,"189,343","154,305",+22.71%,105.6 sq mi,273.5 km2,"1,703/sq mi",658/km2,105.77 sq mi (273.95 km2),13.42 sq mi (34.77 km2)  9%,UTC−05:00 (EST),[1],"Cape Coral is 14 miles (23km) from Southwest Florida International Airport (RSW), which serves nearly eight million passengers annually. The airport's new Midfield Terminal Complex opened in 2005, with three concourses and 28 gates. In 2010, eighteen national and two international airlines, as well as the two major cargo companies, served the airport.
",http://www.capecoral.net,"The city is near the southern coastal boundary of the humid subtropical climate (Cfa) is located, traversing the north of the urban area bordering a tropical savanna climate (Aw) under the Köppen climate classification system [17] The area averages 355 days of sunshine each year, but experiences precipitation on 145 days per year. While the summers are very warm, humid and rainy, the winters in Cape Coral are dry with moderate temperatures. The city receives about 56inches of rain each year, the majority of which falls from June to September. During the summer months, afternoon rains are heavy yet brief. The city is affected by the annual hurricane season, which begins officially on June 1 and continues through November.[citation needed]
","/wiki/Cape_Coral,_Florida"
133,Shreveport, Louisiana,"188,987","199,311",−5.18%,107.1 sq mi,277.4 km2,"1,820/sq mi",700/km2,107.14 sq mi (277.48 km2),15.21 sq mi (39.40 km2),UTC−6 (CST),Adrian Perkins,"Shreveport is served by two airports. The larger is Shreveport Regional Airport (SHV), established in 1952, and is served by Allegiant Air (to Las Vegas and Orlando), American Airlines (to Dallas/Ft. Worth), Delta Air Lines (to Atlanta), GLO Airlines (to New Orleans), and United Airlines (as United Express) (to Houston and Denver). The smaller airport, Shreveport Downtown Airport (DTN), was built in 1931 and is located north of the Downtown Business District along the Red River. It is currently a general aviation/reliever airport, but was originally Shreveport's commercial airport.
",http://www.shreveportla.gov,"Shreveport has a humid subtropical climate (Köppen climate classification Cfa). Rainfall is abundant, with the normal annual precipitation averaging over 51 inches (1.3m), with monthly averages ranging from less than 3 inches (76mm) in August to more than 5 inches (130mm) in June. Severe thunderstorms with heavy rain, hail, damaging winds and tornadoes occur in the area during the spring and summer months. The winter months are normally mild, with an average of 35days of freezing or below-freezing temperatures per year, with ice and sleet storms possible. Summer months are hot and humid, with maximum temperatures exceeding 90°F (32°C) an average of 91days per year, with high to very high relative average humidity, sometimes exceeding the 90 percent level.
","/wiki/Shreveport,_Louisiana"
134,Frisco, Texas,"188,170","116,989",+60.84%,67.7 sq mi,175.3 km2,"2,417/sq mi",933/km2,61.8 sq mi (160.1 km2),0.6 sq mi (1.5 km2),UTC-6 (CST),Jeff Cheney,,http://www.friscotexas.gov,"Frisco is part of the humid subtropical region. It gets 39 inches of rain per year. On average, there are 230 sunny days per year in the city. The July high is around 96 degrees. The January low is 33 degrees. The comfort index, which is based on humidity during the hot months, is a 25 out of 100, where higher is more comfortable.[6]
","/wiki/Frisco,_Texas"
135,Knoxville, Tennessee,"187,500","178,874",+4.82%,98.5 sq mi,255.1 km2,"1,891/sq mi",730/km2,98.5 sq mi (255.2 km2),5.6 sq mi (14.6 km2)  5.4%,UTC−5 (EST),Madeline Rogero,"Knoxville and the surrounding area is served by McGhee Tyson Airport (IATA:TYS), a 2,000-acre (810ha) airport equipped with twin 9,000-foot (2,700m) runways.  The airport is located south of Knoxville in Alcoa, but is owned by the non-profit Metropolitan Knoxville Airport Authority (MKAA).  McGhee Tyson offers 8 major airlines serving 19 non-stop destinations, and averages 120 arrivals and departures per day.  The airport includes the 21-acre (8.5ha) Air Cargo Complex, which serves FedEx, UPS, and Airborne Express.  The McGhee Tyson Air National Guard Base, located adjacent to the civilian airport, is home to the Tennessee National Guard's 134th Air Refueling Wing.[152]
",http://www.knoxvilletn.gov,"Knoxville falls in the humid subtropical climate (Köppen: Cfa). Summers are the warmest time of year, with the daily average temperature in July at 78.4°F (25.8°C), and an average of 36 days per year with temperatures reaching 90°F (32°C).[60]  Winters are generally much cooler and less stable, with occasional small amounts of snow.  January has a daily average temperature of 38.2°F (3.4°C), although in most years there is at least one day (average 5.3)[61] where the high remains at or below freezing.[a] The record high for Knoxville is 105°F (41°C) on June 30 and July 1, 2012,[62] while the record low is −24°F (−31°C) on January 21, 1985.[63]  Annual precipitation averages just under 48in (1,220mm), and normal seasonal snowfall is 6.5in (17cm); however, usually no snow occurs outside of January and February. The one-day record for snowfall is 17.5in (44cm), which occurred on February 13, 1960.[64][b]
","/wiki/Knoxville,_Tennessee"
136,Worcester, Massachusetts,"185,877","181,045",+2.67%,37.4 sq mi,96.9 km2,"4,933/sq mi","1,905/km2",37.6 sq mi (97.3 km2),1.0 sq mi (2.6 km2),UTC-5 (Eastern),Joseph Petty,,http://www.worcesterma.gov,"Worcester's humid continental climate (Köppen Dfb) is typical of New England. The weather changes rapidly owing to the confluence of warm, humid air from the southwest; cool, dry air from the north; and the moderating influence of the Atlantic Ocean to the east. Summers are typically warm and humid, while winters are cold, windy, and snowy. Snow typically falls from the second half of November into early April,[34] with occasional falls in October; May snow is much rarer. The USDA classifies the city as straddling hardiness zones 5b and 6a.[35]
","/wiki/Worcester,_Massachusetts"
137,Brownsville, Texas,"183,392","175,023",+4.78%,132.5 sq mi,343.2 km2,"1,387/sq mi",536/km2,81.528 sq mi (211.157 km2),3.339 sq mi (8.648 km2)  4%,UTC-6 (CST),City Council,,http://www.cob.us,"Located on the Gulf Coast approximately 2.4 degrees north of the Tropic of Cancer, Brownsville possesses a humid subtropical climate (Köppen Cfa): winters are mild, summers are hot and humid.[63] Due to its proximity to the deserts of Chihuahua and Gulf Coastal Plains, Brownsville's geographic location lies near the boundary of a hot semi-arid climate.[63] Snow is a rare event in Brownsville. Precipitation is concentrated during the late summer and early fall months, peaking in September, when the threat from tropical cyclones is greatest. In most years, November through April are quite dry. As such, Brownsville receives modest annual rainfall, averaging about 27.44in (697mm) annually based on records between 1981 and 2010.[64]
","/wiki/Brownsville,_Texas"
138,Vancouver, Washington,"183,012","161,791",+13.12%,46.9 sq mi,121.5 km2,"3,728/sq mi","1,439/km2",48.69 sq mi (126.11 km2),3.70 sq mi (9.59 km2),UTC−8 (Pacific),Anne McEnerny-Ogle,,http://www.cityofvancouver.us/,,"/wiki/Vancouver,_Washington"
139,Fort Lauderdale, Florida,"182,595","165,521",+10.32%,34.6 sq mi,89.6 km2,"5,166/sq mi","1,995/km2",34.62 sq mi (89.67 km2),1.69 sq mi (4.37 km2)  9.87%,UTC−5 (Eastern (EST)),Dean Trantalis,,http://www.fortlauderdale.gov,"According to the Köppen climate classification, Fort Lauderdale has a trade-wind[41] tropical rainforest climate (Köppen Af).[42] While the city does not have a true dry season, much of the seasonal rainfall comes between May and October. Winters are frequently dry and sunny, and drought can be a concern in some years. (see climate chart below).
","/wiki/Fort_Lauderdale,_Florida"
140,Sioux Falls, South Dakota,"181,883","153,888",+18.19%,75.4 sq mi,195.3 km2,"2,312/sq mi",893/km2,72.96 sq mi (188.97 km2),0.51 sq mi (1.32 km2),UTC−6 (Central),Paul Ten Haken,,http://www.SiouxFalls.org,"Due to its inland location, Sioux Falls experiences a humid continental climate (Köppen Dfa) characterized by hot, relatively humid summers and cold, dry winters. It is in USDA Plant Hardiness Zone 4b.[20] The monthly daily average temperature ranges from 16.6°F (−8.6°C) in January to 73.0°F (22.8°C) in July; there are 18 days of 90°F (32°C)+ highs and 26 days with sub-0°F (−18°C) lows annually. Snowfall occurs mostly in light to moderate amounts during the winter, totaling 44.6 inches (113cm). Precipitation, at 26.3 inches (668mm) annually, is concentrated in the warmer months. Extremes range from −42°F (−41°C) on February 9, 1899 to 110°F (43°C) as recently as June 21, 1988.[21]
","/wiki/Sioux_Falls,_South_Dakota"
141,Ontario, California,"181,107","163,924",+10.48%,49.9 sq mi,129.2 km2,"3,471/sq mi","1,340/km2",49.93 sq mi (129.33 km2),0.06 sq mi (0.16 km2)  0.13%,UTC−8 (Pacific),Mayor Pro Tem,,http://www.ontarioca.gov/,"The climate of Ontario is influenced by Bsh semi-arid conditions, with very hot summers and warm winters. Santa Ana Winds hit the area frequently in autumn and winter. Extremes range from 114°F (46°C) down to 25°F (−4°C). According to the Köppen Climate Classification system, Ontario has a hot-summer Mediterranean climate, abbreviated ""Csa"" on climate maps.[24]
","/wiki/Ontario,_California"
142,Chattanooga, Tennessee,"180,557","167,674",+7.68%,143.1 sq mi,370.6 km2,"1,241/sq mi",479/km2,137.1 sq mi (355.2 km2),7.4 sq mi (19.2 km2),UTC-5 (EST),Andy Berke,,http://www.chattanooga.gov/,"Chattanooga, like much of Tennessee, has a four-season humid subtropical climate (Köppen Cfa). Winter days are usually mild, but most years have at least one day (average 3.2) where the high remains at or below freezing. Snowfall is highly variable from year to year. 11 inches (28cm) were recorded between January 9–10, 2011.[56] Summers are hot and humid, with a July daily mean of 80.0°F (26.7°C) and 52 days annually with 90°F (32°C) or greater temperatures.[57]
","/wiki/Chattanooga,_Tennessee"
143,Providence, Rhode Island,"179,335","178,042",+0.73%,18.4 sq mi,47.7 km2,"9,740/sq mi","3,760/km2",48 km2 (18.4 sq mi),6 km2 (2.2 sq mi),UTC−5 (Eastern Time Zone),Jorge Elorza,,http://www.providenceri.com,"Providence has a humid continental climate (Köppen climate classification Dfa) bordering a humid subtropical climate with hot summers, cold winters, and high humidity year-round. The USDA places the city in hardiness zone 6b, with the suburbs in zones 6a – 7b.[36] The influence of the Atlantic Ocean keeps the state of Rhode Island[37] warmer than many inland locales in New England.[38][39] January is the coldest month with a daily mean of 29.2°F (−1.6°C) and low temperatures dropping to 10°F (−12°C) or lower an average of 11 days per winter,[40] while July is the warmest month with a daily mean of 73.5°F (23.1°C) and highs rising to 90°F (32°C) or higher an average of 10 days per summer.[40] Extremes range from −17°F or −27.2°C on February 9, 1934 to 104°F or 40°C on August 2, 1975;[41] the record cold daily maximum is 1°F (−17.2°C) on February 5, 1918, while the record warm daily minimum is 80°F (26.7°C) on June 6, 1925.[40] Temperature readings of 0°F or −17.8°C or lower are uncommon in Providence and generally occur once every several years. The year which had the most days with a temperature reading of zero degrees or lower was 2015 with eight days total—one day in January and seven days in February.[40] Conversely, temperature readings of 100°F or 37.8°C or higher are even rarer, and the year with the most days in this category was 1944 with three days, all of which were in August.[40]
","/wiki/Providence,_Rhode_Island"
144,Newport News, Virginia,"178,626","180,719",−1.16%,69.1 sq mi,179.0 km2,"2,631/sq mi","1,016/km2",69.12 sq mi (179.02 km2),50.55 sq mi (130.93 km2)  42.4%,UTC−5 (EST),McKinley L. Price,,http://www.nnva.gov,"Newport News is located in the humid subtropical climate zone, with cool to mild winters, and hot, humid summers. Due to the inland location, throughout the year, highs are 2 to 3°F (1.1 to 1.7°C) warmer and lows 1 to 2°F (0.6 to 1.1°C) cooler than areas to the southeast. Snowfall averages 5.8 inches (15cm) per season, and the summer months tend to be slightly wetter. The geographic location of the city, with respect to the principal storm tracks, favours fair weather, as it is south of the average path of storms originating in the higher latitudes, and north of the usual tracks of hurricanes and other major tropical storms.[33]
","/wiki/Newport_News,_Virginia"
145,Rancho Cucamonga, California,"177,751","165,269",+7.55%,40.0 sq mi,103.6 km2,"4,413/sq mi","1,704/km2",39.99 sq mi (103.56 km2),0.01 sq mi (0.02 km2)  0.05%,UTC−8 (PST),Mayor pro tem,,http://www.cityofrc.us,"The city's climate is classified as hot-summer Mediterranean, or Csa, under the Köppen climate classification system.[19] Yearly precipitation is 17.68 inches (449mm) and the city experiences an average of 287 sunny days per year, compared to a national average of 205 days.[18]
","/wiki/Rancho_Cucamonga,_California"
146,Santa Rosa, California,"177,586","167,815",+5.82%,41.3 sq mi,107.0 km2,"4,241/sq mi","1,637/km2",41.29 sq mi (106.95 km2),0.20 sq mi (0.53 km2)  0.49%,UTC−8 (Pacific),[3],,http://ci.santa-rosa.ca.us,"Santa Rosa has a warm-summer Mediterranean climate (Köppen Csb) with cool, wet winters and warm, dry summers. In the summer, fog and low overcast often move in from the Pacific Ocean during the evenings and mornings. They usually clear up to warm, sunny weather by late morning or noon before returning in the later evening but will occasionally linger all day. Average annual rainfall is 32.20 inches (818mm), falling on 74 days annually. The wettest year was 1983 with 63.07 inches (1,602mm) and the driest year was 1976 with 11.38 inches (289mm). The most rainfall in one month was 19.42 inches (493mm) in February 1998 and the most rainfall in 24 hours was 5.23 inches (133mm) on December 19, 1981. Measurable snowfall is rare in the lowlands, but light amounts sometimes fall in the nearby mountains.
","/wiki/Santa_Rosa,_California"
147,Oceanside, California,"176,080","167,086",+5.38%,41.3 sq mi,107.0 km2,"4,249/sq mi","1,641/km2",41.25 sq mi (106.84 km2),0.92 sq mi (2.39 km2)  2.23%,UTC−8 (Pacific),Deputy Mayor,,http://www.ci.oceanside.ca.us,"Oceanside experiences a semi-arid climate (Köppen climate classification BSh) that is significantly tempered by maritime winds and the cool currents off the shoreline. The average high temperatures range from 64°F (18°C) to 77°F (23°C), while the average low temperatures range from 45°F (7°C) to 64°F (18°C).
","/wiki/Oceanside,_California"
148,Salem, Oregon,"173,442","154,637",+12.16%,48.6 sq mi,125.9 km2,"3,445/sq mi","1,330/km2",47.90 sq mi (124.06 km2),0.55 sq mi (1.42 km2),UTC−8 (PST),Chuck Bennett,,http://cityofsalem.net,,"/wiki/Salem,_Oregon"
149,Elk Grove, California,"172,886","153,015",+12.99%,42.2 sq mi,109.3 km2,"4,022/sq mi","1,553/km2",42.20 sq mi (109.29 km2),0.05 sq mi (0.12 km2)  0.12%,UTC-8 (Pacific),Steve Ly,,http://elkgrovecity.org,,"/wiki/Elk_Grove,_California"
150,Garden Grove, California,"172,646","170,883",+1.03%,18.0 sq mi,46.6 km2,"9,714/sq mi","3,751/km2",17.96 sq mi (46.51 km2),0.02 sq mi (0.05 km2)  0.10%,UTC-8 (Pacific),City council,,http://www.ggcity.org,,"/wiki/Garden_Grove,_California"
151,Pembroke Pines, Florida,"172,374","154,019",+11.92%,33.0 sq mi,85.5 km2,"5,109/sq mi","1,973/km2",33.03 sq mi (85.54 km2),1.94 sq mi (5.03 km2)  4.88%,UTC−5 (Eastern (EST)),D,,http://www.ppines.com/,"Pembroke Pines has warm, dry winters and hot, muggy summers.
","/wiki/Pembroke_Pines,_Florida"
152,Peoria, Arizona,"172,259","154,065",+11.81%,175.7 sq mi,455.1 km2,934/sq mi,361/km2,175.68 sq mi (455.01 km2),3.42 sq mi (8.86 km2),UTC−7 (MST (no DST)),R,,http://www.peoriaaz.gov/,"As of the census of 2000, there were 108,364 people, 39,184 households, and 29,309 families residing in the city. The population density was 784.0 people per square mile (302.7/km²). There were 42,573 housing units at an average density of 308.0 per square mile (118.9/km²). The racial makeup of the city was 84.95% White, 2.78% Black or African American, 0.68% Native American, 1.92% Asian, 0.11% Pacific Islander, 7.09% from other races, and 2.48% from two or more races. 15.41% of the population were Hispanic or Latino of any race.
","/wiki/Peoria,_Arizona"
